customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Churn_Predicted,Risk_Tier,Revenue_At_Risk,Retention_Action
7590-VHVEG,Female,0,Yes,No,1,Month-to-month,DSL,Electronic check,29.85,29.85,No,0.7726,Yes,Critical,276.75,Immediate call — offer 2-year contract discount
5575-GNVDE,Male,0,No,No,34,One year,DSL,Mailed check,56.95,1889.5,No,0.1449,No,Low,99.02,Standard engagement — quarterly check-in
3668-QPYBK,Male,0,No,No,2,Month-to-month,DSL,Mailed check,53.85,108.15,Yes,0.5641,Yes,High,364.52,Send retention offer — add TechSupport bundle
7795-CFOCW,Male,0,No,No,45,One year,DSL,Bank transfer (automatic),42.3,1840.75,No,0.0858,No,Low,43.55,Standard engagement — quarterly check-in
9237-HQITU,Female,0,No,No,2,Month-to-month,Fiber optic,Electronic check,70.7,151.65,Yes,0.839,Yes,Critical,711.81,Immediate call — offer 2-year contract discount
9305-CDSKC,Female,0,No,No,8,Month-to-month,Fiber optic,Electronic check,99.65,820.5,Yes,0.901,Yes,Critical,1077.42,Immediate call — offer 2-year contract discount
1452-KIOVK,Male,0,No,Yes,22,Month-to-month,Fiber optic,Credit card (automatic),89.1,1949.4,No,0.7501,Yes,Critical,802.01,Immediate call — offer 2-year contract discount
6713-OKOMC,Female,0,No,No,10,Month-to-month,DSL,Mailed check,29.75,301.9,No,0.5663,Yes,High,202.17,Send retention offer — add TechSupport bundle
7892-POOKP,Female,0,Yes,No,28,Month-to-month,Fiber optic,Electronic check,104.8,3046.05,Yes,0.7993,Yes,Critical,1005.2,Immediate call — offer 2-year contract discount
6388-TABGU,Male,0,No,Yes,62,One year,DSL,Bank transfer (automatic),56.15,3487.95,No,0.0337,No,Low,22.71,Standard engagement — quarterly check-in
9763-GRSKD,Male,0,Yes,Yes,13,Month-to-month,DSL,Mailed check,49.95,587.45,No,0.4603,No,Medium,275.9,Loyalty email — highlight service value
7469-LKBCI,Male,0,No,No,16,Two year,No,Credit card (automatic),18.95,326.8,No,0.0638,No,Low,14.51,Standard engagement — quarterly check-in
8091-TTVAX,Male,0,Yes,No,58,One year,Fiber optic,Credit card (automatic),100.35,5681.1,No,0.439,No,Medium,528.64,Loyalty email — highlight service value
0280-XJGEX,Male,0,No,No,49,Month-to-month,Fiber optic,Bank transfer (automatic),103.7,5036.3,Yes,0.6976,Yes,High,868.09,Send retention offer — add TechSupport bundle
5129-JLPIS,Male,0,No,No,25,Month-to-month,Fiber optic,Electronic check,105.5,2686.05,No,0.6789,Yes,High,859.49,Send retention offer — add TechSupport bundle
3655-SNQYZ,Female,0,Yes,Yes,69,Two year,Fiber optic,Credit card (automatic),113.25,7895.15,No,0.0819,No,Low,111.3,Standard engagement — quarterly check-in
8191-XWSZG,Female,0,No,No,52,One year,No,Mailed check,20.65,1022.95,No,0.038,No,Low,9.42,Standard engagement — quarterly check-in
9959-WOFKT,Male,0,No,Yes,71,Two year,Fiber optic,Bank transfer (automatic),106.7,7382.25,No,0.114,No,Low,145.97,Standard engagement — quarterly check-in
